timestamp,gt_x,gt_y,gt_z,wls_x,wls_y,wls_z,tc_x,tc_y,tc_z,tc_qx,tc_qy,tc_qz,tc_qw,tc_vx,tc_vy,tc_vz,tc_bias_ax,tc_bias_ay,tc_bias_az,tc_bias_gx,tc_bias_gy,tc_bias_gz,imu_n,imu_mean_ax,imu_mean_ay,imu_mean_az,imu_mean_gx,imu_mean_gy,imu_mean_gz,imu_accel_norm_mean,imu_gyro_norm_mean,wls_gt_err,tc_gt_err
0.023481,1.276000,0.020000,0.085000,1.243136,-0.038056,-0.145728,1.243136,-0.038056,-0.145728,-0.002768,-0.006919,0.015221,0.999856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23,0.241350,0.011699,9.804060,0.000804,0.003479,-0.000359,9.807048,0.004977,0.240179,0.240179
0.040115,1.276000,0.020000,0.085000,1.229894,-0.034312,-0.036267,1.240740,-0.036361,-0.143798,-0.002905,-0.007095,0.015221,0.999855,0.001379,0.001143,0.000644,0.000001,-0.000001,-0.000003,0.000000,0.000000,-0.000000,17,0.237577,0.000134,9.796478,-0.001028,0.000728,-0.000271,9.799363,0.002766,0.140646,0.238261
0.056814,1.276000,0.020000,0.085000,1.229370,-0.040696,0.028313,1.238643,-0.035693,-0.140731,-0.001726,-0.005990,0.015358,0.999863,0.003215,0.001659,0.002959,0.000003,-0.000002,-0.000015,-0.000001,-0.000001,-0.000000,17,0.233111,0.004183,9.803354,0.000870,-0.000094,0.000175,9.806130,0.003684,0.095246,0.235482
0.089962,1.276000,0.020000,0.085000,1.185360,-0.042862,0.003887,1.231952,-0.035683,-0.138059,-0.000617,-0.011570,0.016477,0.999797,-0.001496,0.002289,0.006678,0.000016,-0.000003,-0.000046,-0.000002,0.000000,-0.000001,33,0.248361,0.022700,9.799631,-0.001277,0.000049,0.000261,9.802808,0.003278,0.136918,0.234086
0.106674,1.276000,0.020000,0.085000,1.279999,-0.045735,0.019328,1.236990,-0.035989,-0.134699,0.000813,-0.001238,0.016019,0.999871,0.015743,0.001141,0.011381,0.000018,-0.000005,-0.000083,-0.000003,-0.000011,-0.000001,17,0.247190,0.031482,9.796757,0.001107,0.000698,0.000116,9.799929,0.003809,0.093005,0.230053
0.123243,1.276000,0.020000,0.085000,1.234715,-0.049232,-0.002146,1.236729,-0.036887,-0.131846,0.002462,-0.000798,0.016441,0.999861,0.019924,-0.001868,0.016037,0.000022,-0.000005,-0.000120,-0.000004,-0.000011,-0.000001,17,0.252380,0.022335,9.804521,-0.001276,-0.001678,0.000637,9.807801,0.004448,0.118710,0.227597
0.139913,1.276000,0.020000,0.085000,1.220356,-0.078357,-0.040989,1.235251,-0.041296,-0.129803,0.008730,-0.002652,0.018348,0.999790,0.018982,-0.017321,0.019420,0.000024,-0.000004,-0.000147,-0.000007,-0.000010,-0.000002,17,0.231823,0.009434,9.798598,-0.000432,0.000551,0.000655,9.801345,0.003081,0.169244,0.227063
0.156453,1.276000,0.020000,0.085000,1.268525,-0.100948,0.044828,1.238483,-0.047313,-0.125862,0.015883,0.001525,0.022752,0.999614,0.032870,-0.038937,0.026110,0.000029,-0.000001,-0.000203,-0.000007,-0.000013,-0.000006,16,0.225431,0.011895,9.799697,-0.001254,0.000373,0.000824,9.802299,0.002278,0.127664,0.224502
0.189782,1.276000,0.020000,0.085000,1.239200,-0.065893,0.069952,1.239156,-0.049603,-0.120366,0.015744,0.001086,0.022133,0.999630,0.040023,-0.048292,0.036219,0.000031,0.000008,-0.000294,0.000003,-0.000010,-0.000005,34,0.236014,0.029524,9.809033,-0.000302,-0.000263,0.000027,9.811920,0.004039,0.094648,0.219948
0.206455,1.276000,0.020000,0.085000,1.226429,-0.076212,-0.004975,1.238269,-0.052717,-0.117060,0.017885,-0.000593,0.021131,0.999617,0.038048,-0.061300,0.042137,0.000031,0.000012,-0.000349,0.000007,-0.000008,-0.000003,17,0.227679,0.025511,9.799174,-0.000484,-0.001735,-0.000471,9.801857,0.002651,0.140746,0.218036
0.223008,1.276000,0.020000,0.085000,1.214502,-0.052889,-0.028802,1.236385,-0.053181,-0.114118,0.016681,-0.002908,0.018147,0.999692,0.032175,-0.062515,0.047562,0.000030,0.000018,-0.000393,0.000013,-0.000006,0.000001,17,0.242765,0.031843,9.813892,-0.000728,0.001843,-0.000553,9.816951,0.004396,0.148478,0.215807
0.239577,1.276000,0.020000,0.085000,1.209948,-0.077540,0.031692,1.234149,-0.055920,-0.109636,0.017747,-0.005204,0.016506,0.999693,0.024656,-0.072981,0.055892,0.000031,0.000023,-0.000467,0.000018,-0.000006,0.000003,16,0.226633,0.011688,9.798038,-0.000998,-0.000651,-0.000245,9.800667,0.002482,0.129301,0.213069
0.256233,1.276000,0.020000,0.085000,1.206870,-0.051418,0.085470,1.231651,-0.055507,-0.103395,0.015398,-0.007175,0.011483,0.999790,0.016575,-0.068793,0.067989,0.000033,0.000034,-0.000569,0.000029,-0.000008,0.000008,17,0.240785,0.017146,9.798002,-0.000958,0.002863,-0.000308,9.800978,0.003891,0.099397,0.207752
0.289508,1.276000,0.020000,0.085000,1.212255,-0.070936,-0.053095,1.230229,-0.059168,-0.099760,0.016291,-0.008762,0.011378,0.999764,0.011791,-0.083311,0.071382,0.000033,0.000035,-0.000600,0.000028,-0.000007,0.000008,34,0.244233,0.012992,9.815706,-0.000969,-0.001817,-0.000073,9.818758,0.003758,0.177209,0.206152
0.306076,1.276000,0.020000,0.085000,1.258873,-0.023547,0.013652,1.232787,-0.055906,-0.094937,0.012280,-0.006794,0.006873,0.999878,0.022982,-0.066224,0.079634,0.000038,0.000044,-0.000672,0.000037,-0.000014,0.000013,16,0.244305,0.022917,9.806236,0.000219,0.001863,-0.000754,9.809306,0.003055,0.085325,0.200016
0.322730,1.276000,0.020000,0.085000,1.215371,-0.048359,0.053864,1.231230,-0.055387,-0.088917,0.010796,-0.007942,0.004698,0.999899,0.017377,-0.061599,0.090252,0.000039,0.000050,-0.000768,0.000040,-0.000015,0.000014,17,0.232790,0.021748,9.821087,-0.000006,-0.003236,-0.000978,9.823872,0.005633,0.096531,0.194768
0.339365,1.276000,0.020000,0.085000,1.168238,-0.054360,-0.015910,1.225861,-0.055859,-0.085185,0.010285,-0.011355,0.003813,0.999875,-0.002858,-0.061715,0.095562,0.000035,0.000052,-0.000815,0.000040,-0.000012,0.000013,17,0.247019,0.026867,9.812295,0.000632,0.000695,0.000691,9.815444,0.004706,0.165302,0.192955
0.355984,1.276000,0.020000,0.085000,1.225773,-0.075175,0.056483,1.225558,-0.058138,-0.078968,0.011366,-0.011443,0.005455,0.999855,-0.003409,-0.069766,0.105037,0.000039,0.000053,-0.000905,0.000036,-0.000018,0.000011,17,0.242758,0.030507,9.800757,-0.001392,0.001389,-0.000785,9.803815,0.004319,0.111329,0.188508
0.372569,1.276000,0.020000,0.085000,1.216846,-0.065704,-0.044261,1.224726,-0.059752,-0.076226,0.011627,-0.011863,0.006080,0.999844,-0.006133,-0.074731,0.107462,0.000039,0.000053,-0.000927,0.000036,-0.000018,0.000010,16,0.236084,0.023889,9.816292,-0.001560,0.000628,-0.000355,9.819161,0.003113,0.165990,0.187038
0.389178,1.276000,0.020000,0.085000,1.215178,-0.048329,0.066514,1.223569,-0.059155,-0.069615,0.010263,-0.012749,0.002765,0.999862,-0.010537,-0.069640,0.117489,0.000042,0.000058,-0.001019,0.000035,-0.000023,0.000013,17,0.233104,0.024532,9.808205,-0.001203,-0.002904,-0.001271,9.811006,0.004303,0.093327,0.181439
0.405871,1.276000,0.020000,0.085000,1.252543,-0.037909,0.049817,1.225537,-0.057709,-0.063509,0.008138,-0.011674,-0.001681,0.999897,-0.002715,-0.060811,0.126041,0.000048,0.000062,-0.001097,0.000037,-0.000027,0.000019,17,0.236575,0.016514,9.825006,0.000762,0.001116,0.000412,9.827869,0.002958,0.071704,0.175043
0.422480,1.276000,0.020000,0.085000,1.280691,-0.100242,0.070082,1.229586,-0.062102,-0.056810,0.009841,-0.009690,0.000237,0.999905,0.012213,-0.075913,0.134771,0.000055,0.000058,-0.001181,0.000027,-0.000035,0.000019,17,0.230787,0.029186,9.806949,-0.002357,0.001426,-0.000768,9.809711,0.004433,0.121255,0.170309
0.439101,1.276000,0.020000,0.085000,1.218857,-0.059268,-0.037549,1.228892,-0.062953,-0.053936,0.009617,-0.010101,0.000032,0.999903,0.009732,-0.076910,0.136187,0.000054,0.000059,-0.001192,0.000028,-0.000034,0.000019,17,0.234279,0.025139,9.814514,0.001388,-0.001615,-0.001849,9.817343,0.003411,0.156739,0.168533
0.455728,1.276000,0.020000,0.085000,1.255396,-0.053826,0.090406,1.230807,-0.062829,-0.046539,0.008845,-0.009245,-0.000965,0.999918,0.016440,-0.073559,0.145862,0.000057,0.000062,-0.001288,0.000033,-0.000035,0.000019,16,0.228466,0.026789,9.810835,-0.000395,0.000808,-0.000581,9.813535,0.003361,0.076838,0.161882
0.488996,1.276000,0.020000,0.085000,1.255316,-0.057933,-0.004660,1.233319,-0.064457,-0.040267,0.008419,-0.008441,-0.001482,0.999928,0.025433,-0.074691,0.148656,0.000059,0.000063,-0.001316,0.000036,-0.000041,0.000020,34,0.244049,0.030464,9.809084,0.000325,0.000619,0.000005,9.812172,0.003392,0.120583,0.156992
0.505618,1.276000,0.020000,0.085000,1.183851,-0.048700,-0.032050,1.229593,-0.064073,-0.037542,0.007721,-0.010062,0.000063,0.999920,0.011812,-0.070610,0.149467,0.000055,0.000064,-0.001322,0.000043,-0.000029,0.000017,17,0.230453,0.022915,9.809197,-0.000284,0.000644,-0.000542,9.811940,0.003272,0.164049,0.155686
0.555455,1.276000,0.020000,0.085000,1.246397,-0.032493,0.086128,1.231509,-0.063116,-0.024917,0.005871,-0.009549,-0.001641,0.999936,0.018294,-0.059012,0.158487,0.000055,0.000066,-0.001435,0.000074,-0.000033,0.000018,50,0.240642,0.026862,9.808816,-0.000382,0.001125,0.000193,9.811811,0.004302,0.060275,0.144809
0.572130,1.276000,0.020000,0.085000,1.205601,-0.060625,0.046903,1.229072,-0.063420,-0.019224,0.005621,-0.010512,0.000611,0.999929,0.009622,-0.057810,0.163684,0.000053,0.000066,-0.001499,0.000075,-0.000021,0.000015,17,0.242501,0.010227,9.802983,0.002064,-0.001254,-0.000431,9.805988,0.004121,0.113612,0.141506
0.605358,1.276000,0.020000,0.085000,1.206570,-0.089921,0.040411,1.226919,-0.067994,-0.011430,0.006520,-0.011283,0.003452,0.999909,0.002125,-0.070037,0.167962,0.000051,0.000064,-0.001553,0.000055,-0.000008,0.000011,33,0.237840,0.016169,9.812250,-0.001104,0.002286,-0.000262,9.815147,0.004394,0.137445,0.139465
0.621935,1.276000,0.020000,0.085000,1.203270,-0.088720,-0.030276,1.224739,-0.071385,-0.009763,0.007289,-0.011952,0.005829,0.999885,-0.004761,-0.079535,0.166596,0.000050,0.000064,-0.001531,0.000040,0.000003,0.000008,17,0.243931,0.027408,9.818441,0.000011,0.000444,-0.000093,9.821510,0.001864,0.174351,0.141275
0.638568,1.276000,0.020000,0.085000,1.224750,-0.073589,0.025269,1.224585,-0.072674,-0.005545,0.007268,-0.011953,0.005806,0.999885,-0.004821,-0.081188,0.169107,0.000050,0.000063,-0.001562,0.000040,0.000002,0.000008,17,0.247269,0.027571,9.815967,0.000317,0.002784,-0.001456,9.819121,0.004397,0.122284,0.139392
0.655230,1.276000,0.020000,0.085000,1.225594,-0.054826,0.010777,1.224592,-0.072017,-0.002081,0.006659,-0.011931,0.004303,0.999897,-0.004589,-0.076269,0.170292,0.000050,0.000064,-0.001576,0.000052,0.000002,0.000010,17,0.233682,0.030355,9.811267,0.001245,-0.001079,-0.000331,9.814097,0.005016,0.116828,0.136722
0.671788,1.276000,0.020000,0.085000,1.270373,-0.051959,-0.024789,1.228516,-0.071242,-0.000505,0.006091,-0.010885,0.001133,0.999922,0.007881,-0.071538,0.168589,0.000052,0.000065,-0.001552,0.000065,-0.000013,0.000014,16,0.242433,0.026207,9.800431,0.002025,-0.000408,-0.001112,9.803467,0.004435,0.131390,0.133757
0.688422,1.276000,0.020000,0.085000,1.238599,-0.057076,-0.027407,1.229547,-0.071040,0.000909,0.005708,-0.010659,0.000349,0.999927,0.011147,-0.068773,0.166729,0.000053,0.000066,-0.001526,0.000073,-0.000016,0.000015,17,0.244021,0.026793,9.804815,-0.001603,-0.000770,-0.000319,9.807890,0.005009,0.141332,0.132353
0.705100,1.276000,0.020000,0.085000,1.207064,-0.087773,0.017082,1.227859,-0.073552,0.004202,0.006081,-0.011093,0.001760,0.999918,0.005824,-0.074746,0.167783,0.000052,0.000065,-0.001538,0.000065,-0.000010,0.000013,17,0.225624,0.009108,9.815729,-0.000113,0.002373,-0.000206,9.818332,0.003293,0.144845,0.132657
