timestamp,gt_x,gt_y,gt_z,wls_x,wls_y,wls_z,tc_x,tc_y,tc_z,tc_qx,tc_qy,tc_qz,tc_qw,tc_vx,tc_vy,tc_vz,tc_bias_ax,tc_bias_ay,tc_bias_az,tc_bias_gx,tc_bias_gy,tc_bias_gz,imu_n,imu_mean_ax,imu_mean_ay,imu_mean_az,imu_mean_gx,imu_mean_gy,imu_mean_gz,imu_accel_norm_mean,imu_gyro_norm_mean,wls_gt_err,tc_gt_err
0.023481,1.276000,0.020000,0.085000,1.272994,0.024120,-0.187541,1.271036,0.023162,-0.193436,-0.002768,-0.006919,0.015221,0.999856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23,0.241350,0.011699,9.804060,0.000804,0.003479,-0.000359,9.807048,0.004977,0.272589,0.278499
0.040115,1.276000,0.020000,0.085000,1.269786,0.033923,-0.039192,1.267029,0.034713,-0.125417,-0.004547,-0.007434,0.017898,0.999802,-0.059495,0.186381,0.003381,0.000701,-0.002362,-0.000046,-0.000015,-0.000007,0.000002,17,0.237577,0.000134,9.796478,-0.001028,0.000728,-0.000271,9.799363,0.002766,0.125124,0.211122
0.056814,1.276000,0.020000,0.085000,1.259977,0.028085,-0.013836,1.262276,0.033724,-0.086325,-0.002738,-0.009490,0.012146,0.999877,-0.186715,0.058741,0.008677,0.004104,0.000843,-0.000150,-0.000225,-0.000041,0.000003,17,0.233111,0.004183,9.803354,0.000870,-0.000094,0.000175,9.806130,0.003684,0.100452,0.172421
0.072330,1.276000,0.020000,0.085000,1.256188,0.002089,0.095362,1.256444,0.022796,-0.044820,0.003203,-0.008798,-0.011092,0.999895,-0.186267,-0.187981,0.020148,0.004358,0.009842,-0.000284,-0.000384,-0.000211,0.000027,15,0.246634,0.027497,9.810811,-0.000746,0.001201,0.000736,9.813952,0.003601,0.028648,0.131315
0.089962,1.276000,0.020000,0.085000,1.219883,0.007458,0.043133,1.243114,0.017648,-0.021618,0.000802,-0.012271,-0.012399,0.999848,-0.356528,-0.131665,0.028098,0.011656,0.008293,-0.000729,0.000514,-0.000010,0.000021,18,0.249801,0.018703,9.790315,-0.001720,-0.000911,-0.000136,9.793521,0.003009,0.071128,0.111600
0.106674,1.276000,0.020000,0.085000,1.321301,0.015255,0.029054,1.260325,0.016511,-0.013656,-0.001044,-0.004849,-0.009361,0.999944,-0.115611,-0.096120,0.029565,-0.001821,0.004997,-0.000412,0.001111,-0.001825,0.000005,17,0.247190,0.031482,9.796757,0.001107,0.000698,0.000116,9.799929,0.003809,0.072143,0.099954
0.123243,1.276000,0.020000,0.085000,1.267879,0.014357,-0.032475,1.253676,0.016330,-0.014805,-0.002002,-0.009715,0.016268,0.999818,-0.257150,-0.085243,0.026909,0.008399,0.004569,-0.000595,0.001333,-0.000554,-0.000026,17,0.252380,0.022335,9.804521,-0.001276,-0.001678,0.000637,9.807801,0.004448,0.117890,0.102337
0.139913,1.276000,0.020000,0.085000,1.255435,-0.019961,-0.064882,1.249896,0.002719,-0.020639,0.003670,-0.009244,-0.077432,0.996948,-0.273071,-0.223101,0.017980,0.007524,0.016071,-0.000437,0.000336,-0.000800,0.000140,17,0.231823,0.009434,9.798598,-0.000432,0.000551,0.000655,9.801345,0.003081,0.156475,0.110180
0.156453,1.276000,0.020000,0.085000,1.288106,-0.033523,-0.001535,1.258001,-0.005375,-0.019777,0.003437,-0.003388,-0.143542,0.989632,-0.117168,-0.262055,0.017559,-0.004168,0.017565,-0.000254,0.000766,-0.003386,0.000267,16,0.225431,0.011895,9.799697,-0.001254,0.000373,0.000824,9.802299,0.002278,0.102468,0.109299
0.172651,1.276000,0.020000,0.085000,1.241274,-0.016446,-0.070889,1.247704,-0.006265,-0.024037,-0.000824,-0.008167,0.095105,0.995433,-0.234242,-0.216762,0.006162,0.004142,0.011103,-0.000005,0.003178,-0.000271,-0.000398,17,0.236562,0.028210,9.813263,0.000306,0.001285,0.000481,9.816158,0.003656,0.163815,0.115670
