timestamp,gt_x,gt_y,gt_z,wls_x,wls_y,wls_z,tc_x,tc_y,tc_z,tc_qx,tc_qy,tc_qz,tc_qw,tc_vx,tc_vy,tc_vz,tc_bias_ax,tc_bias_ay,tc_bias_az,tc_bias_gx,tc_bias_gy,tc_bias_gz,imu_n,imu_mean_ax,imu_mean_ay,imu_mean_az,imu_mean_gx,imu_mean_gy,imu_mean_gz,imu_accel_norm_mean,imu_gyro_norm_mean,wls_gt_err,tc_gt_err,integ_used,integ_input_count,integ_factor_count,integ_excluded_count,integ_chi2,integ_threshold,integ_dof,integ_fault,integ_ring_sum,integ_ring_ok,integ_ring_closed_loops,integ_hpl,integ_vpl,integ_available,integ_excluded_idx,integ_chi2_after_fde,integ_hal,integ_val,integ_p_fa,integ_tdoa_noise_sigma,integ_soft_gate,integ_hard_gate,integ_sigma_inflation,integ_input_pairs,integ_factor_pairs,integ_excluded_pairs,integ_residuals,integ_std_resid,integ_input_sigmas,integ_factor_sigmas,integ_factor_std_resid,integ_factor_labels
0.007920,1.487072,-0.067000,0.080000,1.433186,-0.072074,-0.147431,1.425667,-0.080833,-0.103779,-0.002768,-0.006919,0.015221,0.999856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,0.228986,0.121740,9.804961,0.000015,0.003333,0.001320,9.808393,0.004023,0.233783,0.194260,1,7,7,0,3.166314,18.466827,4,0,0.000000,1,0,0.577295,0.879320,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,6-7|7-0|0-1|1-2|3-4|4-5|5-6,6-7|7-0|0-1|1-2|3-4|4-5|5-6,none,-0.001685|0.060620|-0.132442|0.125689|0.012576|-0.044135|0.161150,-0.032877|0.634998|-0.886899|0.871226|0.211609|-0.531096|0.943157,0.051264|0.095465|0.149331|0.144267|0.059432|0.083101|0.170863,0.051264|0.095465|0.149331|0.144267|0.059432|0.083101|0.170863,-0.032877|0.634998|-0.886899|0.871226|0.211609|-0.531096|0.943157,nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.024636,1.487487,-0.067000,0.080000,1.548114,-0.016529,-0.132137,1.458268,-0.046422,-0.109847,-0.003670,-0.004897,0.030659,0.999511,0.340959,0.167070,0.001224,-0.004264,-0.001895,0.000041,-0.000078,0.000149,-0.000017,16,0.222007,0.126177,9.820577,0.000570,-0.000332,0.000356,9.823902,0.003135,0.226330,0.193181,1,8,8,0,4.588212,20.515006,5,0,0.000000,1,0,0.437872,0.681042,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6,6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6,none,-0.034037|0.178851|-0.206358|0.112389|-0.027118|0.034617|-0.110076|0.108034,-0.450658|0.971287|-1.007763|0.836903|-0.385538|0.455712|-0.830406|0.824526,0.075528|0.184138|0.204769|0.134292|0.070339|0.075963|0.132557|0.131025,0.075528|0.184138|0.204769|0.134292|0.070339|0.075963|0.132557|0.131025,-0.450658|0.971287|-1.007763|0.836903|-0.385538|0.455712|-0.830406|0.824526,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.068270,1.488000,-0.067000,0.080000,1.503935,-0.000566,-0.094351,1.473306,-0.015679,-0.101675,-0.005199,-0.016074,0.084575,0.996274,0.018171,0.228404,0.006700,0.011583,-0.004797,-0.000288,-0.000400,0.000275,0.000015,15,0.224067,0.109235,9.821375,-0.001798,-0.001469,0.000273,9.824541,0.004226,0.187258,0.189356,1,8,8,0,2.269420,20.515006,5,0,0.000000,1,0,0.296987,0.527376,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3,3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3,none,0.005937|-0.028661|0.050448|-0.021542|0.131199|-0.080561|0.007540|-0.050286,0.109036|-0.400875|0.574344|-0.325619|0.884096|-0.729583|0.135478|-0.573290,0.054453|0.071496|0.087836|0.066156|0.148400|0.110421|0.055655|0.087714,0.054453|0.071496|0.087836|0.066156|0.148400|0.110421|0.055655|0.087714,0.109036|-0.400875|0.574344|-0.325619|0.884096|-0.729583|0.135478|-0.573290,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.084871,1.488000,-0.067000,0.080000,1.519867,-0.032964,-0.067780,1.492347,-0.027077,-0.086878,0.006381,-0.010430,-0.185297,0.982607,0.120176,-0.039677,0.012348,0.007650,0.009337,-0.000322,-0.000678,-0.000731,0.000477,17,0.219865,0.101151,9.810214,0.000731,-0.001108,-0.001005,9.813204,0.002934,0.154960,0.171642,1,8,8,0,3.536691,20.515006,5,0,0.000000,1,0,0.345655,0.723521,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3,3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3,none,0.044118|-0.118802|0.027696|-0.048418|0.178882|-0.047398|0.084145|-0.040463,0.530977|-0.854067|0.391342|-0.560958|0.971332|-0.554049|0.743930|-0.503601,0.083089|0.139101|0.070772|0.086314|0.184161|0.085549|0.113109|0.080347,0.083089|0.139101|0.070772|0.086314|0.184161|0.085549|0.113109|0.080347,0.530977|-0.854067|0.391342|-0.560958|0.971332|-0.554049|0.743930|-0.503601,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.101520,1.488000,-0.067000,0.080000,1.525377,0.003026,-0.113777,1.503360,-0.009257,-0.083136,-0.004768,-0.008517,0.033350,0.999396,0.143477,0.182056,0.011660,0.005288,-0.003444,-0.000343,0.000449,-0.001257,-0.000006,17,0.230403,0.132823,9.811199,0.000592,-0.000093,-0.000859,9.814808,0.003866,0.209404,0.173734,1,8,8,0,3.453205,20.515006,5,0,0.000000,1,0,0.336522,0.624076,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3,3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3,none,-0.002925|-0.136791|0.030818|-0.029428|0.228049|-0.072903|0.014636|-0.111217,-0.056033|-0.896442|0.421512|-0.408317|1.031725|-0.696455|0.240027|-0.833632,0.052193|0.152593|0.073114|0.072071|0.221037|0.104677|0.060977|0.133413,0.052193|0.152593|0.073114|0.072071|0.221037|0.104677|0.060977|0.133413,-0.056033|-0.896442|0.421512|-0.408317|1.031725|-0.696455|0.240027|-0.833632,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.117122,1.488000,-0.067000,0.080000,1.479215,-0.007865,-0.150660,1.495151,-0.009990,-0.084386,-0.003776,-0.014804,0.091199,0.995715,-0.056826,0.117274,0.010991,0.019784,-0.001460,-0.000741,-0.000118,-0.001257,-0.000091,16,0.218676,0.110299,9.826926,0.000190,-0.000097,0.000228,9.829981,0.002732,0.238282,0.174138,1,7,7,0,2.817980,18.466827,4,0,0.000000,1,0,0.388681,0.940570,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,3-4|4-5|5-6|6-7|7-0|0-1|1-2,3-4|4-5|5-6|6-7|7-0|0-1|1-2,none,0.114267|-0.023058|0.037827|-0.060879|0.002042|-0.212020|0.049527,0.842053|-0.342643|0.482670|-0.636417|0.039620|-1.014377|0.568327,0.135700|0.067293|0.078370|0.095659|0.051531|0.209015|0.087145,0.135700|0.067293|0.078370|0.095659|0.051531|0.209015|0.087145,0.842053|-0.342643|0.482670|-0.636417|0.039620|-1.014377|0.568327,nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.134785,1.488000,-0.067000,0.080000,1.560195,-0.052159,-0.004025,1.512829,-0.017129,-0.065247,0.001583,-0.008339,-0.016625,0.999826,0.105803,0.018671,0.025764,0.007804,0.008922,-0.000816,-0.000437,-0.003312,0.000145,18,0.219105,0.123105,9.800013,0.000144,-0.003857,-0.001029,9.803244,0.004583,0.111770,0.155564,1,8,8,0,3.182010,20.515006,5,0,0.000000,1,0,0.311802,0.617031,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3,3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3,none,-0.094709|-0.084512|0.037615|0.000417|0.171066|-0.051184|0.002154|-0.079375,-0.782513|-0.745361|0.480944|0.008284|0.959431|-0.579082|0.041730|-0.724678,0.121032|0.113384|0.078211|0.050313|0.178300|0.088388|0.051615|0.109531,0.121032|0.113384|0.078211|0.050313|0.178300|0.088388|0.051615|0.109531,-0.782513|-0.745361|0.480944|0.008284|0.959431|-0.579082|0.041730|-0.724678,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.150310,1.487151,-0.067849,0.080000,1.536105,-0.071704,-0.093537,1.513899,-0.029099,-0.065726,-0.000557,-0.013822,0.346644,0.937895,0.025055,-0.117749,0.024271,0.017929,0.018208,-0.001197,-0.000144,-0.003071,-0.000615,15,0.220765,0.097721,9.793335,0.000594,-0.000739,-0.001389,9.796314,0.004576,0.180351,0.153144,1,7,7,0,1.955867,18.466827,4,0,0.000000,1,0,0.416862,0.834210,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,3-4|4-5|5-6|6-7|7-0|0-1|1-2,3-4|4-5|5-6|6-7|7-0|0-1|1-2,none,-0.040917|-0.021128|0.105440|0.021140|0.017275|-0.097808|0.023595,-0.507104|-0.320867|0.816857|0.321009|0.274398|-0.792893|0.348541,0.080688|0.065846|0.129080|0.065855|0.062956|0.123356|0.067696,0.080688|0.065846|0.129080|0.065855|0.062956|0.123356|0.067696,-0.507104|-0.320867|0.816857|0.321009|0.274398|-0.792893|0.348541,nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.167982,1.487562,-0.067000,0.080000,1.536819,-0.049182,-0.212780,1.515129,-0.021465,-0.083555,-0.000753,-0.012669,-0.167488,0.985792,0.001414,0.073632,0.000304,0.018609,0.000021,-0.000217,0.001823,-0.004648,0.000456,18,0.232574,0.106690,9.817387,0.000854,0.001188,-0.000671,9.820722,0.003491,0.297429,0.171999,1,8,8,0,3.179803,20.515006,5,0,0.000000,1,0,0.321371,0.654413,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3,3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3,none,-0.129835|-0.060539|0.098620|0.019588|0.073695|-0.100626|0.014625|-0.018746,-0.880977|-0.634554|0.795547|0.302798|0.700050|-0.801997|0.239872|-0.292635,0.147376|0.095404|0.123965|0.064691|0.105271|0.125470|0.060968|0.064060,0.147376|0.095404|0.123965|0.064691|0.105271|0.125470|0.060968|0.064060,-0.880977|-0.634554|0.795547|0.302798|0.700050|-0.801997|0.239872|-0.292635,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.184711,1.488000,-0.067000,0.080000,1.500196,-0.033965,-0.036396,1.505311,-0.016975,-0.075310,-0.005539,-0.015802,0.076638,0.996918,-0.129367,0.112807,0.012493,0.029197,-0.003686,-0.001150,0.003338,-0.003275,-0.000427,17,0.231781,0.108414,9.811997,-0.000350,0.002486,-0.000017,9.815337,0.005587,0.121606,0.164083,1,8,8,0,3.154828,20.515006,5,0,0.000000,1,0,0.349377,0.542682,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3,3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3,none,0.009060|-0.077431|0.069582|-0.017164|0.188180|-0.081927|0.050947|-0.038028,0.159518|-0.716467|0.680931|-0.272990|0.984540|-0.735134|0.577561|-0.484302,0.056795|0.108073|0.102186|0.062873|0.191135|0.111446|0.088210|0.078521,0.056795|0.108073|0.102186|0.062873|0.191135|0.111446|0.088210|0.078521,0.159518|-0.716467|0.680931|-0.272990|0.984540|-0.735134|0.577561|-0.484302,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
