timestamp,gt_x,gt_y,gt_z,wls_x,wls_y,wls_z,lc_x,lc_y,lc_z,lc_qx,lc_qy,lc_qz,lc_qw,lc_vx,lc_vy,lc_vz,lc_bias_ax,lc_bias_ay,lc_bias_az,wls_gt_err,lc_gt_err,integ_chi2,integ_threshold,integ_dof,integ_fault,integ_ring_sum,integ_ring_ok,integ_hpl,integ_vpl,integ_available,integ_excluded_idx,integ_ring_loops,integ_chi2_after_fde,raw_meas_count,used_meas_count,integrity_gate,wls_accepted,consistency_reject,wls_held_last,last_good_wls_age,lc_wls_gap,residual_abs_max,residual_rms,std_resid_abs_max,sigma_min,sigma_mean,sigma_max,nlos_rejected_count,nlos_rejected_pairs
0.024636,1.487000,-0.067000,0.080000,1.486189,-0.125451,0.109610,1.486189,-0.125451,0.109610,-0.002768,-0.006919,0.015221,0.999856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065528,0.065528,9.799840,16.266236,3,0,0.000000,1,0.657406,1.657210,1,-1,0,nan,8,6,1,1,0,0,0.000000,0.000000,0.169485,0.092188,1.472451,0.103632,0.109948,0.115104,2,anchor2:1-2;2-3
0.068270,1.488000,-0.067000,0.080000,1.501350,0.014240,-0.105137,1.493813,-0.055483,0.002203,-0.004577,-0.006671,0.015261,0.999851,0.003947,0.010071,-0.000952,-0.000000,-0.000000,0.000000,0.202618,0.078859,2.146288,18.466827,4,0,0.000000,1,0.430011,0.790585,1,4,0,2.146288,8,7,1,1,0,0,0.000000,0.128219,0.094270,0.041321,0.816147,0.104013,0.109223,0.115506,0,none
0.084871,1.488000,-0.067000,0.080000,1.463157,-0.139340,0.180505,1.483598,-0.083440,0.061633,-0.003197,-0.007195,0.015246,0.999853,0.004387,0.010689,0.001131,0.000000,0.000000,-0.000000,0.126299,0.025040,3.699439,16.266236,3,0,0.000000,1,0.650159,1.640503,1,-1,0,nan,8,6,1,1,0,0,0.000000,0.132940,0.048349,0.033971,0.440578,0.103593,0.109793,0.114897,2,anchor2:1-2;2-3
0.101520,1.488000,-0.067000,0.080000,1.465181,-0.122125,0.160615,1.478998,-0.092959,0.086442,-0.002881,-0.007652,0.015114,0.999852,0.004843,0.012936,0.002600,0.000000,0.000000,-0.000001,0.100291,0.028221,5.850907,16.266236,3,0,0.000000,1,0.652513,1.643344,1,-1,0,nan,8,6,1,1,0,0,0.000000,0.080890,0.074579,0.045599,0.664197,0.103620,0.109841,0.114933,2,anchor2:1-2;2-3
0.134785,1.488000,-0.067000,0.080000,1.537283,-0.143787,0.196548,1.491064,-0.102890,0.108739,-0.000283,-0.003808,0.015851,0.999867,0.016587,0.012340,0.005348,-0.000001,0.000001,-0.000003,0.148015,0.046080,6.259651,16.266236,3,0,0.000000,1,0.659256,1.652790,1,-1,0,nan,8,6,1,1,0,0,0.000000,0.107328,0.079105,0.056748,0.714661,0.103314,0.109899,0.115265,2,anchor2:1-2;2-3
0.167982,1.487000,-0.067000,0.080000,1.515941,-0.046706,-0.205865,1.495950,-0.092749,0.055789,-0.002640,-0.001106,0.016141,0.999866,0.029502,0.024436,-0.004620,-0.000001,-0.000000,0.000006,0.288043,0.036459,2.810465,18.466827,4,0,0.000000,1,0.423507,0.843016,1,0,0,2.810465,8,7,1,1,0,0,0.000000,0.266426,0.105635,0.063370,0.912862,0.104156,0.109441,0.115718,0,none
0.184711,1.488000,-0.067000,0.080000,1.457725,-0.125098,0.167877,1.490802,-0.097101,0.072062,-0.001349,-0.002798,0.016096,0.999866,0.026446,0.022072,-0.000660,-0.000000,0.000001,0.000003,0.109610,0.031256,9.207186,16.266236,3,0,0.000000,1,0.650969,1.640730,1,-1,0,nan,8,6,1,1,0,0,0.000000,0.105159,0.090502,0.057288,0.873294,0.103633,0.109815,0.114886,2,anchor2:1-2;2-3
0.201317,1.488000,-0.067000,0.080000,1.568855,-0.052763,-0.033197,1.501643,-0.090836,0.058554,-0.003266,0.000781,0.016126,0.999864,0.043752,0.032517,-0.004604,-0.000003,-0.000001,0.000007,0.139835,0.034846,-19192772456632328.000000,20.515006,5,0,0.000000,1,0.484996,0.988112,1,-1,0,nan,8,8,1,1,0,0,0.000000,0.119939,0.226208,0.098820,2.004793,0.103628,0.109577,0.115736,0,none
0.236573,1.488000,-0.067000,0.080000,1.493802,-0.018121,-0.186395,1.502427,-0.080396,0.030003,-0.008271,0.001955,0.016705,0.999824,0.055648,0.061951,-0.015871,-0.000002,-0.000005,0.000022,0.270904,0.053733,2.456759,20.515006,5,0,0.000000,1,0.478625,0.809684,1,-1,0,nan,8,8,1,1,0,0,0.000000,0.225346,0.055294,0.042924,0.508004,0.104196,0.109761,0.115581,0,none
0.269890,1.488000,-0.067000,0.080000,1.473088,-0.123380,0.198903,1.500284,-0.084040,0.047712,-0.004185,-0.001039,0.016667,0.999852,0.048943,0.049652,-0.005736,0.000000,-0.000002,0.000008,0.132435,0.038520,2.510897,16.266236,3,0,0.000000,1,0.651882,1.638318,1,-1,0,nan,8,6,1,1,0,0,0.000000,0.158574,0.063085,0.048138,0.609335,0.103531,0.109801,0.114930,2,anchor2:1-2;2-3
