timestamp,gt_x,gt_y,gt_z,wls_x,wls_y,wls_z,wls_clean_x,wls_clean_y,wls_clean_z,tc_x,tc_y,tc_z,tc_qx,tc_qy,tc_qz,tc_qw,tc_vx,tc_vy,tc_vz,tc_bias_ax,tc_bias_ay,tc_bias_az,tc_bias_gx,tc_bias_gy,tc_bias_gz,imu_n,imu_mean_ax,imu_mean_ay,imu_mean_az,imu_mean_gx,imu_mean_gy,imu_mean_gz,imu_accel_norm_mean,imu_gyro_norm_mean,wls_gt_err,wls_clean_gt_err,tc_gt_err,nlos_anchor_id,nlos_anchor_removed,clean_meas_count,clean_excluded_anchors,integ_used,integ_input_count,integ_factor_count,integ_excluded_count,integ_chi2,integ_threshold,integ_dof,integ_fault,integ_ring_sum,integ_ring_ok,integ_ring_closed_loops,integ_hpl,integ_vpl,integ_available,integ_excluded_idx,integ_chi2_after_fde,integ_hal,integ_val,integ_p_fa,integ_tdoa_noise_sigma,integ_soft_gate,integ_hard_gate,integ_sigma_inflation,integ_input_pairs,integ_factor_pairs,integ_excluded_pairs,integ_residuals,integ_std_resid,integ_input_sigmas,integ_factor_sigmas,integ_factor_std_resid,integ_factor_labels
0.025578,1.501000,0.005000,0.078000,1.400570,-0.275276,0.502841,1.400570,-0.275276,0.502841,1.396155,-0.287689,0.588239,-0.002768,-0.006919,0.015221,0.999856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25,0.172813,0.149219,9.793084,0.001052,0.000815,0.000325,9.795760,0.004055,0.518778,0.518778,0.597497,-1,0,7,none,1,7,7,0,5.388798,18.466827,4,0,0.000000,1,0,0.740719,1.884498,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,0-1|2-3|3-4|4-5|5-6|6-7|7-0,0-1|2-3|3-4|4-5|5-6|6-7|7-0,none,-0.013425|0.352498|-0.003210|0.239387|0.111822|0.231193|-0.322924,-0.223488|1.121271|-0.061257|1.042898|0.835325|1.034908|-1.105174,0.060068|0.314374|0.052408|0.229540|0.133867|0.223395|0.292193,0.060068|0.314374|0.052408|0.229540|0.133867|0.223395|0.292193,-0.223488|1.121271|-0.061257|1.042898|0.835325|1.034908|-1.105174,nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.041323,1.501000,0.005000,0.078679,1.343344,-0.354940,0.865618,1.343344,-0.354940,0.865618,1.372848,-0.335324,0.777778,0.000004,-0.008907,0.011306,0.999896,-0.217538,-0.301702,0.003702,0.002634,0.003579,-0.000065,0.000015,-0.000012,0.000002,16,0.177713,0.140291,9.794537,-0.001080,0.000631,-0.000127,9.797155,0.002972,0.879594,0.879594,0.788025,-1,0,8,none,1,8,8,0,6.849446,20.515006,5,0,0.000000,1,0,0.812070,1.587891,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0,0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0,none,-0.049402|-0.427969|0.057251|-0.126262|0.537400|0.076706|0.176288|-0.309697,-0.567501|-1.153628|0.616010|-0.872598|1.186183|0.713349|0.967467|-1.097155,0.087051|0.370977|0.092938|0.144696|0.453050|0.107530|0.182216|0.282273,0.087051|0.370977|0.092938|0.144696|0.453050|0.107530|0.182216|0.282273,-0.567501|-1.153628|0.616010|-0.872598|1.186183|0.713349|0.967467|-1.097155,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.058753,1.501000,0.005000,0.078000,1.495033,-0.060725,0.083017,1.495033,-0.060725,0.083017,1.440046,-0.187485,0.453237,-0.006211,-0.004971,0.034969,0.999357,-0.025168,0.049897,-0.010878,-0.002702,-0.004737,0.000088,0.000332,-0.000277,-0.000030,18,0.179765,0.140346,9.801040,-0.000532,0.002789,-0.000260,9.803694,0.004132,0.066185,0.066185,0.426109,-1,0,7,none,1,7,7,0,2.195326,18.466827,4,0,0.000000,1,0,0.352962,0.588798,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,0-1|2-3|3-4|4-5|5-6|6-7|7-0,0-1|2-3|3-4|4-5|5-6|6-7|7-0,none,-0.102818|0.001436|-0.056886|0.001976|0.160499|0.039786|0.009205,-0.808869|0.028118|-0.613895|0.038384|0.942038|0.498321|0.161763,0.127114|0.051077|0.092665|0.051482|0.170374|0.079839|0.056904,0.127114|0.051077|0.092665|0.051482|0.170374|0.079839|0.056904,-0.808869|0.028118|-0.613895|0.038384|0.942038|0.498321|0.161763,nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.074651,1.501000,0.005000,0.078000,1.481568,-0.062584,0.190038,1.481568,-0.062584,0.190038,1.451709,-0.136148,0.347949,-0.004909,-0.008767,0.014145,0.999849,-0.185756,0.029435,-0.019222,0.002990,-0.004532,0.000173,-0.000031,0.000141,0.000026,16,0.179335,0.132078,9.788304,0.000994,0.000184,-0.000799,9.790845,0.004050,0.132279,0.132279,0.308585,-1,0,8,none,1,8,8,0,2.424979,20.515006,5,0,0.000000,1,0,0.295801,0.496516,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0,0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0,none,-0.126114|-0.083661|-0.002726|-0.038079|0.050360|0.076554|0.008576|-0.006896,-0.872246|-0.742031|-0.052374|-0.484719|0.573771|0.712692|0.151971|-0.124992,0.144586|0.112746|0.052044|0.078559|0.087770|0.107416|0.056432|0.055172,0.144586|0.112746|0.052044|0.078559|0.087770|0.107416|0.056432|0.055172,-0.872246|-0.742031|-0.052374|-0.484719|0.573771|0.712692|0.151971|-0.124992,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.092000,1.501000,0.005000,0.078000,1.323555,-0.247236,0.517211,1.323555,-0.247236,0.517211,1.431931,-0.143150,0.353528,-0.000941,-0.010792,0.067090,0.997688,-0.291735,-0.132056,-0.016091,0.008993,0.003897,0.000076,-0.000728,0.000129,-0.000069,17,0.165796,0.145414,9.808384,0.000974,-0.000909,-0.000292,9.810865,0.003143,0.536672,0.536672,0.320366,-1,0,7,none,1,7,7,0,5.202099,18.466827,4,0,0.000000,1,0,0.716575,1.748923,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,0-1|2-3|3-4|4-5|5-6|6-7|7-0,0-1|2-3|3-4|4-5|5-6|6-7|7-0,none,-0.019488|0.325177|0.010669|0.321223|0.140555|0.113011|-0.252471,-0.301596|1.106485|0.183943|1.104173|0.904377|0.838621|-1.054805,0.064616|0.293882|0.058002|0.290917|0.155416|0.134758|0.239353,0.064616|0.293882|0.058002|0.290917|0.155416|0.134758|0.239353,-0.301596|1.106485|0.183943|1.104173|0.904377|0.838621|-1.054805,nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.108587,1.501000,0.005000,0.078726,1.503686,-0.019712,0.050454,1.503686,-0.019712,0.050454,1.444356,-0.120750,0.304548,-0.005425,-0.005802,0.040474,0.999149,-0.133176,0.038665,-0.031465,-0.000796,-0.005660,0.000474,0.000279,-0.001178,-0.000026,17,0.165655,0.161206,9.800887,0.000841,0.001361,0.000015,9.803616,0.003349,0.037646,0.037646,0.264608,-1,0,7,none,1,7,7,0,2.300660,18.466827,4,0,0.000000,1,0,0.365833,0.563230,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,0-1|2-3|3-4|4-5|5-6|6-7|7-0,0-1|2-3|3-4|4-5|5-6|6-7|7-0,none,-0.144889|-0.034640|0.008564|-0.004982|0.092320|-0.017830|0.083335,-0.913165|-0.455907|0.151779|-0.092707|0.774236|-0.281358|0.740746,0.158666|0.075980|0.056423|0.053736|0.119240|0.063373|0.112501,0.158666|0.075980|0.056423|0.053736|0.119240|0.063373|0.112501,-0.913165|-0.455907|0.151779|-0.092707|0.774236|-0.281358|0.740746,nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.125209,1.501000,0.005000,0.078217,1.457695,-0.061040,0.097550,1.457695,-0.061040,0.097550,1.439924,-0.116665,0.271209,-0.001973,-0.009129,0.078272,0.996888,-0.225573,-0.074416,-0.049748,0.006843,0.001799,0.000900,-0.000961,-0.000254,-0.000116,17,0.170384,0.144483,9.801876,-0.001564,0.003181,-0.000828,9.804425,0.004362,0.081304,0.081304,0.236174,-1,0,7,none,1,7,7,0,1.833698,18.466827,4,0,0.000000,1,0,0.318104,0.523784,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,0-1|2-3|3-4|4-5|5-6|6-7|7-0,0-1|2-3|3-4|4-5|5-6|6-7|7-0,none,-0.121542|-0.015574|-0.000954|-0.002272|0.114206|-0.002194|0.048552,-0.861045|-0.252497|-0.018812|-0.043944|0.841888|-0.042483|0.561853,0.141157|0.061681|0.050716|0.051704|0.135654|0.051646|0.086414,0.141157|0.061681|0.050716|0.051704|0.135654|0.051646|0.086414,-0.861045|-0.252497|-0.018812|-0.043944|0.841888|-0.042483|0.561853,nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.141147,1.501000,0.005000,0.078000,1.466178,-0.119514,0.124223,1.466178,-0.119514,0.124223,1.451910,-0.117059,0.232476,0.001798,-0.008886,0.114450,0.993388,-0.206620,-0.212477,-0.060119,0.009985,0.009793,0.001161,-0.002261,0.000241,-0.000092,16,0.179572,0.147607,9.795716,0.000066,-0.000023,-0.000023,9.798476,0.003993,0.137306,0.137306,0.202906,-1,0,8,none,1,8,8,0,3.232473,20.515006,5,0,0.000000,1,0,0.327681,0.624550,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0,0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0,none,-0.093088|-0.035142|0.020606|-0.065694|0.076848|0.126653|0.065456|-0.029955,-0.776923|-0.460233|0.314810|-0.661769|0.713963|0.873530|0.660559|-0.413363,0.119816|0.076356|0.065454|0.099271|0.107636|0.144990|0.099092|0.072466,0.119816|0.076356|0.065454|0.099271|0.107636|0.144990|0.099092|0.072466,-0.776923|-0.460233|0.314810|-0.661769|0.713963|0.873530|0.660559|-0.413363,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.159171,1.501000,0.005000,0.078000,1.436115,-0.064700,0.031085,1.436115,-0.064700,0.031085,1.443716,-0.106058,0.214544,-0.005661,-0.006779,0.350310,0.936592,-0.254569,-0.062032,-0.073395,0.005823,0.000080,0.001486,0.000719,0.000015,-0.000482,18,0.188175,0.157608,9.813617,0.000173,-0.000862,-0.000076,9.816690,0.003867,0.106156,0.106156,0.185093,-1,0,6,none,1,6,6,0,2.168951,16.266236,3,0,0.000000,1,0,0.520754,0.920456,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,0-1|3-4|4-5|5-6|6-7|7-0,0-1|3-4|4-5|5-6|6-7|7-0,none,-0.102733|0.160127|0.013964|0.027588|-0.061744|-0.006032,-0.808605|0.941396|0.230918|0.390259|-0.641107|-0.110625,0.127050|0.170095|0.060473|0.070691|0.096308|0.054524,0.127050|0.170095|0.060473|0.070691|0.096308|0.054524,-0.808605|0.941396|0.230918|0.390259|-0.641107|-0.110625,nominal|nominal|nominal|nominal|nominal|nominal
0.175124,1.501000,0.005000,0.078000,1.468445,-0.289697,0.505776,1.468445,-0.289697,0.505776,1.452146,-0.121091,0.227606,0.000046,-0.007653,0.207398,0.978227,-0.203503,-0.179593,-0.052037,0.010335,0.009556,0.001025,-0.001874,-0.000493,0.000078,16,0.183033,0.151481,9.796096,-0.000390,0.000518,-0.000819,9.798985,0.003434,0.520479,0.520479,0.201662,-1,0,7,none,1,7,7,0,5.434334,18.466827,4,0,0.000000,1,0,0.714541,1.809167,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,0-1|2-3|3-4|4-5|5-6|6-7|7-0,0-1|2-3|3-4|4-5|5-6|6-7|7-0,none,-0.018067|0.306413|-0.003617|0.235794|0.153805|0.231997|-0.262893,-0.284293|1.095076|-0.068609|1.039447|0.930157|1.035711|-1.063613,0.063550|0.279809|0.052712|0.226845|0.165354|0.223998|0.247170,0.063550|0.279809|0.052712|0.226845|0.165354|0.223998|0.247170,-0.284293|1.095076|-0.068609|1.039447|0.930157|1.035711|-1.063613,nominal|nominal|nominal|nominal|nominal|nominal|nominal
