timestamp,gt_x,gt_y,gt_z,wls_x,wls_y,wls_z,tc_x,tc_y,tc_z,tc_qx,tc_qy,tc_qz,tc_qw,tc_vx,tc_vy,tc_vz,tc_bias_ax,tc_bias_ay,tc_bias_az,tc_bias_gx,tc_bias_gy,tc_bias_gz,imu_n,imu_mean_ax,imu_mean_ay,imu_mean_az,imu_mean_gx,imu_mean_gy,imu_mean_gz,imu_accel_norm_mean,imu_gyro_norm_mean,wls_gt_err,tc_gt_err,integ_used,integ_input_count,integ_factor_count,integ_excluded_count,integ_chi2,integ_threshold,integ_dof,integ_fault,integ_ring_sum,integ_ring_ok,integ_ring_closed_loops,integ_hpl,integ_vpl,integ_available,integ_excluded_idx,integ_chi2_after_fde,integ_hal,integ_val,integ_p_fa,integ_tdoa_noise_sigma,integ_soft_gate,integ_hard_gate,integ_sigma_inflation,integ_input_pairs,integ_factor_pairs,integ_excluded_pairs,integ_residuals,integ_std_resid,integ_input_sigmas,integ_factor_sigmas,integ_factor_std_resid,integ_factor_labels
0.008942,1.474000,-0.071000,0.079000,1.487124,-0.104384,0.031144,1.487282,-0.101940,0.035848,-0.002768,-0.006919,0.015221,0.999856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,0.190943,0.116460,9.807383,0.000353,-0.003884,-0.001278,9.809935,0.004589,0.059808,0.054734,1,8,8,0,2.121508,20.515006,5,0,0.000000,1,0,0.252629,0.522205,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5,5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5,none,0.074362|-0.019939|0.007020|-0.139678|-0.043518|-0.012833|0.017489|0.046722,0.703043|-0.306973|0.127030|-0.902555|-0.526610|-0.215235|0.277091|0.549399,0.105771|0.064954|0.055265|0.154759|0.082639|0.059625|0.063117|0.085041,0.105771|0.064954|0.055265|0.154759|0.082639|0.059625|0.063117|0.085041,0.703043|-0.306973|0.127030|-0.902555|-0.526610|-0.215235|0.277091|0.549399,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.025482,1.474000,-0.071000,0.079000,1.477595,-0.083612,0.070373,1.480239,-0.089320,0.057117,-0.006187,-0.008337,0.033752,0.999376,-0.155550,0.342001,0.001097,0.001818,-0.004286,-0.000056,-0.000014,-0.000006,-0.000010,17,0.199656,0.124671,9.815083,0.000594,-0.001461,-0.001143,9.817911,0.003373,0.015698,0.029213,1,8,8,0,0.459297,20.515006,5,0,0.000000,1,0,0.199376,0.384225,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5,5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5,none,0.036811|0.007849|0.009875|-0.007718|0.002063|0.007249|0.010069|0.022946,0.474316|0.140447|0.172018|-0.138339|0.040021|0.130761|0.174954|0.341406,0.077608|0.055887|0.057406|0.055788|0.051547|0.055437|0.057552|0.067209,0.077608|0.055887|0.057406|0.055788|0.051547|0.055437|0.057552|0.067209,0.474316|0.140447|0.172018|-0.138339|0.040021|0.130761|0.174954|0.341406,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.042023,1.474000,-0.071000,0.079000,1.503853,-0.115793,0.075002,1.489646,-0.096251,0.065119,0.000428,-0.004349,-0.027490,0.999613,0.067846,0.035025,0.002849,-0.003524,0.003665,0.000044,-0.000442,-0.000266,0.000060,17,0.193024,0.115674,9.812866,0.001431,-0.000615,-0.000155,9.815456,0.003227,0.053978,0.032789,1,8,8,0,2.555473,20.515006,5,0,0.000000,1,0,0.296060,0.498419,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5,5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5,none,0.046840|0.004238|-0.012962|-0.186508|-0.112127|-0.012418|-0.055770|0.023743,0.550219|0.079696|-0.217048|-0.982237|-0.836174|-0.209361|-0.607337|0.350152,0.085130|0.053179|0.059722|0.189881|0.134095|0.059313|0.091828|0.067807,0.085130|0.053179|0.059722|0.189881|0.134095|0.059313|0.091828|0.067807,0.550219|0.079696|-0.217048|-0.982237|-0.836174|-0.209361|-0.607337|0.350152,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.058686,1.474000,-0.071000,0.079000,1.440328,-0.139266,0.096201,1.475124,-0.104997,0.065210,0.001925,-0.009772,-0.071929,0.997360,-0.173030,-0.057564,0.003345,0.004895,0.007342,-0.000113,-0.000111,0.000352,0.000132,17,0.197966,0.105102,9.816314,-0.000295,-0.000923,-0.001527,9.818874,0.003699,0.078038,0.036705,1,8,8,0,2.725934,20.515006,5,0,0.000000,1,0,0.316003,0.538639,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5,5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5,none,0.098981|0.006060|0.139041|-0.023056|-0.071374|-0.035178|-0.015197|0.060243,0.796720|0.111096|0.901221|-0.342629|-0.689400|-0.460546|-0.247521|0.632925,0.124236|0.054545|0.154281|0.067292|0.103530|0.076384|0.061398|0.095183,0.124236|0.054545|0.154281|0.067292|0.103530|0.076384|0.061398|0.095183,0.796720|0.111096|0.901221|-0.342629|-0.689400|-0.460546|-0.247521|0.632925,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.075244,1.474000,-0.071000,0.079000,1.447697,-0.094572,0.025117,1.473795,-0.098888,0.060804,-0.004400,-0.008054,-0.019377,0.999770,-0.112393,0.153374,0.000922,0.002656,-0.002877,-0.000035,0.000810,-0.000115,0.000102,16,0.195257,0.110946,9.816553,0.000464,0.001127,-0.002038,9.819122,0.003913,0.064427,0.033299,1,6,6,0,3.246085,16.266236,3,0,0.000000,1,0,0.967408,2.124342,0,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,5-6|6-7|0-1|1-2|3-4|4-5,5-6|6-7|0-1|1-2|3-4|4-5,none,0.041933|0.094687|-0.007192|-0.127949|-0.209572|0.085335,0.514829|0.782440|-0.129836|-0.876592|-1.011550|0.748544,0.081449|0.121015|0.055394|0.145962|0.207179|0.114001,0.081449|0.121015|0.055394|0.145962|0.207179|0.114001,0.514829|0.782440|-0.129836|-0.876592|-1.011550|0.748544,nominal|nominal|nominal|nominal|nominal|nominal
0.091874,1.474000,-0.071000,0.079000,1.490236,-0.172649,0.181726,1.475864,-0.114653,0.083498,0.000862,-0.004683,-0.010793,0.999930,-0.008512,-0.036843,0.020746,-0.004599,0.007286,-0.000360,-0.000089,-0.000834,0.000089,17,0.195107,0.123901,9.822701,0.000933,-0.001025,0.000272,9.825421,0.002833,0.145426,0.043924,1,8,8,0,2.325827,20.515006,5,0,0.000000,1,0,0.289161,0.590229,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5,5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5,none,0.073882|0.014749|0.010175|-0.126986|-0.014793|-0.017202|-0.147180|-0.003774,0.700889|0.241545|0.176547|-0.874322|-0.242128|-0.273473|-0.917667|-0.071430,0.105411|0.061062|0.057631|0.145240|0.061095|0.062901|0.160385|0.052830,0.105411|0.061062|0.057631|0.145240|0.061095|0.062901|0.160385|0.052830,0.700889|0.241545|0.176547|-0.874322|-0.242128|-0.273473|-0.917667|-0.071430,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.108500,1.474000,-0.071000,0.079000,1.487836,-0.145519,0.184148,1.474259,-0.112461,0.097486,-0.004745,-0.005313,0.026131,0.999633,-0.020205,0.117670,0.037594,-0.003794,-0.002805,-0.000785,0.001428,-0.000672,-0.000012,17,0.194752,0.110552,9.816471,-0.001529,0.000420,-0.000704,9.819027,0.003694,0.129617,0.045396,1,8,8,0,2.378368,20.515006,5,0,0.000000,1,0,0.278733,0.541221,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5,5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5,none,0.127676|0.069339|0.095741|-0.006757|-0.009170|-0.002718|-0.049712|0.028957,0.875950|0.679765|0.786012|-0.122700|-0.161227|-0.052234|-0.569543|0.403766,0.145757|0.102004|0.121805|0.055068|0.056878|0.052039|0.087284|0.071718,0.145757|0.102004|0.121805|0.055068|0.056878|0.052039|0.087284|0.071718,0.875950|0.679765|0.786012|-0.122700|-0.161227|-0.052234|-0.569543|0.403766,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.125187,1.474000,-0.071000,0.079000,1.471705,-0.126643,0.127819,1.467816,-0.107477,0.100773,-0.009891,-0.005952,0.272036,0.962218,-0.115064,0.225860,0.041280,0.001155,-0.011583,-0.001136,0.002322,0.000199,-0.000470,17,0.191746,0.099819,9.815677,0.001958,-0.000456,-0.000597,9.818058,0.004178,0.074059,0.042928,1,8,8,0,3.448203,20.515006,5,0,0.000000,1,0,0.414621,0.664644,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5,5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5,none,0.150806|0.002642|0.120348|-0.132836|-0.052314|-0.058241|-0.044298|0.013892,0.924597|0.050835|0.858029|-0.887781|-0.586244|-0.621694|-0.532278|0.229924,0.163104|0.051982|0.140261|0.149627|0.089235|0.093680|0.083224|0.060419,0.163104|0.051982|0.140261|0.149627|0.089235|0.093680|0.083224|0.060419,0.924597|0.050835|0.858029|-0.887781|-0.586244|-0.621694|-0.532278|0.229924,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.143813,1.474000,-0.071000,0.079000,1.428781,-0.141872,0.080543,1.455340,-0.102883,0.098680,-0.003484,-0.011660,-0.246313,0.969114,-0.333172,0.396127,0.031558,0.000891,-0.014218,-0.000991,0.002045,0.000277,0.000999,19,0.189697,0.117229,9.816230,0.000693,-0.002897,-0.000831,9.818772,0.004472,0.084083,0.041857,1,8,8,0,2.473616,20.515006,5,0,0.000000,1,0,0.362402,0.680801,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6,6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6,none,0.109666|-0.032519|-0.003459|-0.049333|0.015441|-0.174884|0.034509|0.016127,0.829235|-0.437144|-0.065767|-0.567046|0.250747|-0.965340|0.454770|0.259716,0.132249|0.074389|0.052594|0.087000|0.061581|0.181163|0.075881|0.062095,0.132249|0.074389|0.052594|0.087000|0.061581|0.181163|0.075881|0.062095,0.829235|-0.437144|-0.065767|-0.567046|0.250747|-0.965340|0.454770|0.259716,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.160448,1.474000,-0.071000,0.079000,1.460274,-0.129100,0.023993,1.464232,-0.112315,0.093047,-0.005142,-0.007208,-0.036321,0.999301,-0.086878,0.166725,0.020634,0.000432,-0.008243,-0.000393,0.000947,-0.001728,0.000683,16,0.203327,0.120928,9.820879,0.000470,-0.000639,0.000876,9.823730,0.002493,0.081178,0.044718,1,8,8,0,2.189599,20.515006,5,0,0.000000,1,0,0.275014,0.522497,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6,6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6,none,0.047812|0.038507|-0.025321|-0.025785|-0.004326|-0.051469|0.043891|0.122136,0.556866|0.488173|-0.367015|-0.371873|-0.081246|-0.580905|0.529328|0.862530,0.085859|0.078880|0.068990|0.069339|0.053244|0.088602|0.082918|0.141602,0.085859|0.078880|0.068990|0.069339|0.053244|0.088602|0.082918|0.141602,0.556866|0.488173|-0.367015|-0.371873|-0.081246|-0.580905|0.529328|0.862530,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
