timestamp,gt_x,gt_y,gt_z,wls_x,wls_y,wls_z,lc_x,lc_y,lc_z,lc_qx,lc_qy,lc_qz,lc_qw,lc_vx,lc_vy,lc_vz,lc_bias_ax,lc_bias_ay,lc_bias_az,wls_gt_err,lc_gt_err,integ_chi2,integ_threshold,integ_dof,integ_fault,integ_ring_sum,integ_ring_ok,integ_hpl,integ_vpl,integ_available,integ_excluded_idx
0.024380,1.315000,0.033000,0.085000,1.257803,0.010747,0.053737,1.257803,0.010747,0.053737,-0.002768,-0.006919,0.015221,0.999856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068877,0.068877,3.818853,20.515006,5,0,0.000000,1,0.368590,0.791139,1,-1
0.041025,1.315000,0.033000,0.085000,1.320861,-0.032309,-0.045157,1.289338,-0.010776,0.004291,-0.002751,-0.006916,0.015223,0.999856,0.001558,0.001211,0.000216,-0.000000,0.000000,0.000000,0.145741,0.095335,2.214622,20.515006,5,0,0.000000,1,0.369230,0.810371,1,-1
0.074240,1.315000,0.033000,0.085000,1.244445,0.020852,-0.078854,1.274426,-0.000169,-0.023425,-0.002662,-0.006823,0.015213,0.999857,0.004356,0.003980,0.000145,0.000000,-0.000000,0.000000,0.178812,0.120425,1.838049,20.515006,5,0,0.000000,1,0.370987,0.809204,1,-1
0.107494,1.315000,0.033000,0.085000,1.305374,-0.048792,-0.002465,1.282313,-0.012195,-0.018176,-0.002715,-0.006849,0.015210,0.999857,0.007345,0.007101,0.000591,-0.000000,0.000000,0.000000,0.120136,0.117287,1.062754,20.515006,5,0,0.000000,1,0.368006,0.805326,1,-1
0.140777,1.315000,0.033000,0.085000,1.260825,-0.011745,0.004979,1.278245,-0.011882,-0.013530,-0.002733,-0.006867,0.015202,0.999857,0.010661,0.010198,0.000689,0.000000,0.000000,-0.000000,0.106491,0.114339,2.905458,20.515006,5,0,0.000000,1,0.368749,0.800096,1,-1
0.173969,1.315000,0.033000,0.085000,1.313176,-0.011046,-0.068341,1.284409,-0.011429,-0.022645,-0.002733,-0.006818,0.015214,0.999857,0.014178,0.012697,0.000942,-0.000000,0.000000,0.000000,0.159552,0.120404,1.471894,20.515006,5,0,0.000000,1,0.370153,0.811785,1,-1
0.190675,1.315000,0.033000,0.085000,1.294508,-0.051628,-0.017369,1.286064,-0.016989,-0.021878,-0.002719,-0.006818,0.015229,0.999857,0.015901,0.014093,0.000994,-0.000000,0.000000,0.000000,0.134392,0.121487,1.910816,20.515006,5,0,0.000000,1,0.368101,0.807591,1,-1
0.207261,1.315000,0.033000,0.085000,1.254456,-0.011107,-0.053789,1.282347,-0.016039,-0.025853,-0.002730,-0.006844,0.015220,0.999857,0.017297,0.015692,0.001224,0.000000,0.000000,0.000000,0.157713,0.125536,3.749722,20.515006,5,0,0.000000,1,0.369707,0.808565,1,-1
0.223835,1.315000,0.033000,0.085000,1.292335,-0.038479,-0.101744,1.283713,-0.018309,-0.034275,-0.002698,-0.006817,0.015226,0.999857,0.018980,0.017071,0.001154,-0.000000,0.000000,0.000000,0.201237,0.133559,1.807646,20.515006,5,0,0.000000,1,0.369839,0.819193,1,-1
0.240471,1.315000,0.033000,0.085000,1.231469,-0.015077,0.049939,1.278755,-0.017726,-0.025828,-0.002701,-0.006875,0.015222,0.999857,0.019916,0.018611,0.001261,0.000000,0.000000,0.000000,0.102558,0.127160,3.801769,20.515006,5,0,0.000000,1,0.367840,0.793621,1,-1
