timestamp,gt_x,gt_y,gt_z,wls_x,wls_y,wls_z,wls_clean_x,wls_clean_y,wls_clean_z,tc_x,tc_y,tc_z,tc_qx,tc_qy,tc_qz,tc_qw,tc_vx,tc_vy,tc_vz,tc_bias_ax,tc_bias_ay,tc_bias_az,tc_bias_gx,tc_bias_gy,tc_bias_gz,imu_n,imu_mean_ax,imu_mean_ay,imu_mean_az,imu_mean_gx,imu_mean_gy,imu_mean_gz,imu_accel_norm_mean,imu_gyro_norm_mean,wls_gt_err,wls_clean_gt_err,tc_gt_err,nlos_anchor_id,nlos_anchor_removed,clean_meas_count,clean_excluded_anchors,integ_used,integ_input_count,integ_factor_count,integ_excluded_count,integ_chi2,integ_threshold,integ_dof,integ_fault,integ_ring_sum,integ_ring_ok,integ_ring_closed_loops,integ_hpl,integ_vpl,integ_available,integ_excluded_idx,integ_chi2_after_fde,integ_hal,integ_val,integ_p_fa,integ_tdoa_noise_sigma,integ_soft_gate,integ_hard_gate,integ_sigma_inflation,integ_input_pairs,integ_factor_pairs,integ_excluded_pairs,integ_residuals,integ_std_resid,integ_input_sigmas,integ_factor_sigmas,integ_factor_std_resid,integ_factor_labels
0.032413,1.501000,0.005000,0.078000,1.449251,-0.177088,0.279884,1.449251,-0.177088,0.279884,1.464668,-0.154566,0.211923,-0.002768,-0.006919,0.015221,0.999856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32,0.174936,0.148017,9.793560,0.000483,0.000778,0.000289,9.796253,0.003779,0.276750,0.276750,0.211463,-1,0,24,none,1,24,24,0,15.489716,46.797038,21,0,0.000000,1,0,0.258453,0.563578,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,0-1|3-4|4-5|6-7|7-0|0-1|2-3|3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0|0-1|2-3|3-4|4-5,0-1|3-4|4-5|6-7|7-0|0-1|2-3|3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0|0-1|2-3|3-4|4-5,none,0.012557|0.018817|0.118805|0.023984|-0.139494|-0.043744|0.647395|0.009434|0.090655|0.093085|0.183504|-0.200487|-0.024977|-0.868985|0.703696|-0.103169|0.146956|0.154078|0.014600|-0.087885|-0.039053|-0.305033|-0.065635|0.123497,0.211331|0.293500|0.854075|0.352766|-0.902170|-0.528261|1.208850|0.165284|0.768318|0.776915|0.978020|-1.000607|-0.363397|-1.238331|1.217948|-0.809951|0.917231|0.930656|0.239543|-0.758191|-0.492532|-1.094192|-0.661466|0.865900,0.059418|0.064113|0.139104|0.067988|0.154620|0.082808|0.535546|0.057075|0.117991|0.119814|0.187628|0.200365|0.068733|0.701739|0.577772|0.127377|0.160217|0.165559|0.060950|0.115913|0.079289|0.278775|0.099226|0.142623,0.059418|0.064113|0.139104|0.067988|0.154620|0.082808|0.535546|0.057075|0.117991|0.119814|0.187628|0.200365|0.068733|0.701739|0.577772|0.127377|0.160217|0.165559|0.060950|0.115913|0.079289|0.278775|0.099226|0.142623,0.211331|0.293500|0.854075|0.352766|-0.902170|-0.528261|1.208850|0.165284|0.768318|0.776915|0.978020|-1.000607|-0.363397|-1.238331|1.217948|-0.809951|0.917231|0.930656|0.239543|-0.758191|-0.492532|-1.094192|-0.661466|0.865900,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.086479,1.501000,0.005000,0.078000,1.452905,-0.070560,0.202796,1.452905,-0.070560,0.202796,1.468078,-0.088096,0.176471,-0.013352,-0.005050,-0.034045,0.999318,0.011150,0.393545,-0.059594,-0.005693,-0.013678,0.002284,-0.000149,0.000022,0.000216,55,0.175748,0.137920,9.798380,0.000030,0.000964,-0.000475,9.800932,0.003670,0.153612,0.153612,0.139453,-1,0,24,none,1,24,24,0,11.474015,46.797038,21,0,0.000000,1,0,0.169875,0.366354,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0|0-1|2-3|3-4|4-5|5-6|6-7|7-0|0-1|2-3|3-4|4-5|5-6|6-7,5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0|0-1|2-3|3-4|4-5|5-6|6-7|7-0|0-1|2-3|3-4|4-5|5-6|6-7,none,0.101031|0.054534|-0.001138|-0.120895|-0.040823|-0.025634|-0.066305|0.089847|0.077572|-0.020534|-0.015213|-0.111512|0.804808|0.093215|0.042929|0.063497|0.124911|-0.033980|-0.144354|-0.208613|-0.019387|0.113306|0.077572|-0.001767,0.803279|0.599931|-0.022369|-0.859416|-0.506379|-0.370301|-0.664854|0.765402|0.717071|-0.313975|-0.247727|-0.834458|1.231335|0.777366|0.522272|0.650431|0.869349|-0.450155|-0.912101|-1.010430|-0.300392|0.839430|0.717071|-0.034429,0.125773|0.090901|0.050853|0.140672|0.080617|0.069226|0.099729|0.117385|0.108179|0.065401|0.061410|0.133634|0.653606|0.119911|0.082197|0.097623|0.143683|0.075485|0.158266|0.206460|0.064541|0.134979|0.108179|0.051325,0.125773|0.090901|0.050853|0.140672|0.080617|0.069226|0.099729|0.117385|0.108179|0.065401|0.061410|0.133634|0.653606|0.119911|0.082197|0.097623|0.143683|0.075485|0.158266|0.206460|0.064541|0.134979|0.108179|0.051325,0.803279|0.599931|-0.022369|-0.859416|-0.506379|-0.370301|-0.664854|0.765402|0.717071|-0.313975|-0.247727|-0.834458|1.231335|0.777366|0.522272|0.650431|0.869349|-0.450155|-0.912101|-1.010430|-0.300392|0.839430|0.717071|-0.034429,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.142254,1.501000,0.005000,0.078000,1.451315,-0.111932,0.112007,1.451315,-0.111932,0.112007,1.460556,-0.092613,0.141408,0.003914,-0.006410,0.075460,0.997121,-0.002153,0.099546,-0.167993,-0.000779,0.009139,0.010517,-0.004462,-0.000161,-0.000192,56,0.171219,0.151296,9.799891,0.000034,0.001248,-0.000233,9.802561,0.003875,0.131523,0.131523,0.123225,-1,0,24,none,1,24,24,0,9.995523,46.797038,21,0,0.000000,1,0,0.147451,0.298599,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,7-0|0-1|2-3|3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0|0-1|3-4|4-5|5-6|6-7|7-0|0-1|2-3,7-0|0-1|2-3|3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0|0-1|3-4|4-5|5-6|6-7|7-0|0-1|2-3,none,-0.029011|-0.064079|-0.106874|0.000191|0.002273|0.184968|-0.009809|-0.014936|-0.096921|-0.024576|0.038571|-0.084261|0.091416|0.119284|0.041800|-0.019628|-0.078154|0.192553|0.021040|0.058291|-0.005118|-0.066545|-0.073462|0.826787,-0.404290|-0.653472|-0.821125|0.003801|0.043957|0.980088|-0.171025|-0.244043|-0.789963|-0.359132|0.488684|-0.744383|0.771041|0.855309|0.513829|-0.303267|-0.719548|0.990424|0.319853|0.621980|-0.095057|-0.666059|-0.698998|1.233844,0.071758|0.098059|0.130155|0.050143|0.051705|0.188726|0.057357|0.061202|0.122691|0.068432|0.078928|0.113196|0.118562|0.139463|0.081350|0.064721|0.108616|0.194415|0.065780|0.093718|0.053838|0.099909|0.105097|0.670090,0.071758|0.098059|0.130155|0.050143|0.051705|0.188726|0.057357|0.061202|0.122691|0.068432|0.078928|0.113196|0.118562|0.139463|0.081350|0.064721|0.108616|0.194415|0.065780|0.093718|0.053838|0.099909|0.105097|0.670090,-0.404290|-0.653472|-0.821125|0.003801|0.043957|0.980088|-0.171025|-0.244043|-0.789963|-0.359132|0.488684|-0.744383|0.771041|0.855309|0.513829|-0.303267|-0.719548|0.990424|0.319853|0.621980|-0.095057|-0.666059|-0.698998|1.233844,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.201842,1.501000,0.005000,0.078699,1.516734,-0.068758,0.069326,1.516734,-0.068758,0.069326,1.491592,-0.072210,0.106481,-0.004782,0.005421,-0.039838,0.999180,0.213047,0.216458,-0.232911,-0.023717,-0.004226,0.015812,-0.000082,-0.002732,0.000198,60,0.177274,0.158383,9.805947,-0.000994,-0.000058,-0.000212,9.808839,0.004022,0.075998,0.075998,0.082594,-1,0,24,none,1,24,24,0,11.826114,46.797038,21,0,0.000000,1,0,0.182777,0.412616,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,3-4|4-5|5-6|6-7|7-0|0-1|3-4|4-5|5-6|6-7|7-0|0-1|2-3|3-4|4-5|5-6|6-7|7-0|0-1|2-3|3-4|4-5|5-6|6-7,3-4|4-5|5-6|6-7|7-0|0-1|3-4|4-5|5-6|6-7|7-0|0-1|2-3|3-4|4-5|5-6|6-7|7-0|0-1|2-3|3-4|4-5|5-6|6-7,none,-0.039319|0.019531|0.062319|0.085213|0.012043|-0.045607|0.162427|0.038298|0.071702|0.057063|-0.011416|-0.298962|0.021637|0.092050|0.024223|0.062319|0.174357|-0.081793|0.118605|1.049134|-0.156613|0.066449|0.067011|-0.032081,-0.494647|0.302115|0.644194|0.748075|0.204002|-0.541618|0.945330|0.486490|0.690929|0.614919|-0.194941|-1.090221|0.326708|0.773286|0.355347|0.644194|0.964536|-0.734591|0.853556|1.253670|-0.935228|0.665576|0.668382|-0.433170,0.079489|0.064648|0.096739|0.113910|0.059032|0.084205|0.171820|0.078724|0.103777|0.092797|0.058562|0.274222|0.066228|0.119038|0.068167|0.096739|0.180768|0.111344|0.138953|0.836850|0.167460|0.099837|0.100258|0.074061,0.079489|0.064648|0.096739|0.113910|0.059032|0.084205|0.171820|0.078724|0.103777|0.092797|0.058562|0.274222|0.066228|0.119038|0.068167|0.096739|0.180768|0.111344|0.138953|0.836850|0.167460|0.099837|0.100258|0.074061,-0.494647|0.302115|0.644194|0.748075|0.204002|-0.541618|0.945330|0.486490|0.690929|0.614919|-0.194941|-1.090221|0.326708|0.773286|0.355347|0.644194|0.964536|-0.734591|0.853556|1.253670|-0.935228|0.665576|0.668382|-0.433170,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.263997,1.501000,0.005000,0.078358,1.491393,-0.068421,0.098946,1.491393,-0.068421,0.098946,1.491592,-0.061927,0.092684,-0.001126,-0.005700,-0.057351,0.998337,0.102732,0.191728,-0.171295,-0.006868,0.002912,0.007031,-0.002498,0.006790,0.000325,63,0.176837,0.155005,9.809339,-0.000340,0.000442,-0.000395,9.812164,0.003180,0.076856,0.076856,0.069087,-1,0,24,none,1,24,24,0,12.470094,46.797038,21,0,0.000000,1,0,0.201153,0.399767,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,0-1|3-4|4-5|5-6|6-7|7-0|0-1|2-3|3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3|4-5|5-6|6-7|7-0|0-1|2-3|3-4|5-6,0-1|3-4|4-5|5-6|6-7|7-0|0-1|2-3|3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3|4-5|5-6|6-7|7-0|0-1|2-3|3-4|5-6,none,-0.104507|-0.029534|0.068067|0.101997|0.043115|0.013831|-0.113891|-0.034518|-0.113985|0.124369|0.097305|-0.003802|0.009139|-0.048206|0.119835|-0.095511|-0.053918|0.200524|0.090033|-0.075312|-0.076357|0.936677|0.101836|0.055079,-0.814043|-0.409335|0.673598|0.806314|0.523648|0.229094|-0.841031|-0.454851|-0.841289|0.868032|0.791234|-0.071944|0.160751|-0.559530|0.856722|-0.785237|-0.596187|1.000653|0.766077|-0.707263|-0.711834|1.244741|0.805810|0.603214,0.128380|0.072150|0.101051|0.126498|0.082336|0.060373|0.135418|0.075888|0.135489|0.143276|0.122979|0.052852|0.056855|0.086155|0.139876|0.121633|0.090439|0.200393|0.117525|0.106484|0.107267|0.752508|0.126377|0.091309,0.128380|0.072150|0.101051|0.126498|0.082336|0.060373|0.135418|0.075888|0.135489|0.143276|0.122979|0.052852|0.056855|0.086155|0.139876|0.121633|0.090439|0.200393|0.117525|0.106484|0.107267|0.752508|0.126377|0.091309,-0.814043|-0.409335|0.673598|0.806314|0.523648|0.229094|-0.841031|-0.454851|-0.841289|0.868032|0.791234|-0.071944|0.160751|-0.559530|0.856722|-0.785237|-0.596187|1.000653|0.766077|-0.707263|-0.711834|1.244741|0.805810|0.603214,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.324691,1.501000,0.005000,0.078000,1.472337,-0.154571,0.243329,1.472337,-0.154571,0.243329,1.489183,-0.086006,0.100111,0.015455,-0.015161,0.052306,0.998396,0.019061,-0.024630,-0.081737,0.017675,0.033919,-0.006408,-0.007568,0.015139,-0.000248,61,0.170433,0.161818,9.797139,-0.000224,-0.000217,-0.000374,9.799968,0.003113,0.231556,0.231556,0.094396,-1,0,24,none,1,24,24,0,16.305500,46.797038,21,0,0.000000,1,0,0.271762,0.581566,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,6-7|7-0|0-1|1-2|3-4|4-5|5-6|6-7|7-0|0-1|3-4|4-5|5-6|6-7|7-0|0-1|1-2|3-4|4-5|5-6|6-7|7-0|0-1|2-3,6-7|7-0|0-1|1-2|3-4|4-5|5-6|6-7|7-0|0-1|3-4|4-5|5-6|6-7|7-0|0-1|1-2|3-4|4-5|5-6|6-7|7-0|0-1|2-3,none,0.011835|0.047361|-0.010345|-0.905096|-0.090292|0.030635|0.124367|0.147896|-0.173152|-0.024420|-0.113751|0.101012|0.157210|0.110362|-0.163768|-0.080721|0.136476|-0.109059|0.086936|0.171285|0.124438|-0.102775|-0.118255|0.763383,0.201020|0.553795|-0.179106|-1.241862|-0.767012|0.419797|0.868029|0.919055|-0.962683|-0.357464|-0.840648|0.803218|0.936289|0.831219|-0.947590|-0.730239|0.895764|-0.827494|0.754641|0.959775|0.868201|-0.808736|-0.852651|1.226245,0.058877|0.085521|0.057759|0.728822|0.117719|0.072976|0.143276|0.160922|0.179864|0.068315|0.135313|0.125759|0.167907|0.132772|0.172826|0.110541|0.152357|0.131794|0.115202|0.178464|0.143328|0.127082|0.138692|0.622537,0.058877|0.085521|0.057759|0.728822|0.117719|0.072976|0.143276|0.160922|0.179864|0.068315|0.135313|0.125759|0.167907|0.132772|0.172826|0.110541|0.152357|0.131794|0.115202|0.178464|0.143328|0.127082|0.138692|0.622537,0.201020|0.553795|-0.179106|-1.241862|-0.767012|0.419797|0.868029|0.919055|-0.962683|-0.357464|-0.840648|0.803218|0.936289|0.831219|-0.947590|-0.730239|0.895764|-0.827494|0.754641|0.959775|0.868201|-0.808736|-0.852651|1.226245,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.382200,1.501000,0.005000,0.078019,1.467999,-0.086092,0.201067,1.467999,-0.086092,0.201067,1.489031,-0.059263,0.094467,-0.000731,-0.011661,0.023117,0.999664,0.025431,0.138904,-0.117497,0.005327,0.010223,0.001301,0.008711,0.012969,-0.000645,58,0.175425,0.164333,9.800318,0.000237,0.000993,-0.000780,9.803270,0.003463,0.156612,0.156612,0.067406,-1,0,24,none,1,24,24,0,12.757922,46.797038,21,0,0.000000,1,0,0.225239,0.481717,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0|0-1|3-4|4-5|5-6|6-7|7-0|0-1|2-3|3-4|4-5|5-6,3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0|0-1|3-4|4-5|5-6|6-7|7-0|0-1|2-3|3-4|4-5|5-6,none,-0.010764|0.194233|0.063110|0.069399|-0.077742|-0.007353|-0.909500|0.758377|0.092455|0.147315|-0.011959|0.064708|0.034861|-0.115264|-0.015456|0.062864|0.105336|-0.019744|-0.101201|-0.073038|-0.137750|-0.043606|0.030021|0.138178,-0.185354|0.992632|0.648394|0.680056|-0.717795|-0.132452|-1.242274|1.225595|0.774710|0.917930|-0.202794|0.656726|0.457816|-0.844746|-0.250939|0.647093|0.816544|-0.304654|-0.803814|-0.697069|-0.898492|-0.527253|0.413996|0.899400,0.058073|0.195675|0.097332|0.102050|0.108306|0.055515|0.732125|0.618783|0.119341|0.160487|0.058969|0.098531|0.076145|0.136448|0.061592|0.097148|0.129002|0.064808|0.125900|0.104778|0.153313|0.082705|0.072516|0.153633,0.058073|0.195675|0.097332|0.102050|0.108306|0.055515|0.732125|0.618783|0.119341|0.160487|0.058969|0.098531|0.076145|0.136448|0.061592|0.097148|0.129002|0.064808|0.125900|0.104778|0.153313|0.082705|0.072516|0.153633,-0.185354|0.992632|0.648394|0.680056|-0.717795|-0.132452|-1.242274|1.225595|0.774710|0.917930|-0.202794|0.656726|0.457816|-0.844746|-0.250939|0.647093|0.816544|-0.304654|-0.803814|-0.697069|-0.898492|-0.527253|0.413996|0.899400,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.438534,1.501000,0.005000,0.078000,1.495933,-0.086536,0.047994,1.495933,-0.086536,0.047994,1.500315,-0.062106,0.062414,0.001603,-0.005310,-0.087351,0.996162,0.098363,0.104183,-0.199216,-0.005158,0.016268,0.015438,0.008137,0.001569,0.000471,57,0.167669,0.148726,9.809074,-0.000639,-0.000602,-0.000415,9.811645,0.003835,0.096462,0.096462,0.068896,-1,0,24,none,1,24,24,0,9.485408,46.797038,21,0,0.000000,1,0,0.167855,0.347832,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,6-7|7-0|0-1|2-3|3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0|0-1|2-3|3-4|4-5|5-6|6-7|7-0,6-7|7-0|0-1|2-3|3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0|0-1|2-3|3-4|4-5|5-6|6-7|7-0,none,0.017022|-0.046330|-0.108020|-0.081681|-0.052770|0.070013|0.150801|0.007639|0.038122|-0.023568|0.055655|-0.170824|-0.048078|0.088781|0.108575|0.059248|0.000588|-0.014184|0.842597|0.017607|-0.033205|0.085116|0.031097|0.000588,0.271198|-0.546683|-0.824485|-0.734139|-0.589097|0.682991|0.924588|0.137067|0.485063|-0.348246|0.606653|-0.959050|-0.558666|0.761507|0.826097|0.627388|0.011649|-0.233918|1.235574|0.278566|-0.443304|0.747702|0.424115|0.011649,0.062767|0.084748|0.131015|0.111261|0.089577|0.102510|0.163101|0.055729|0.078591|0.067676|0.091741|0.178118|0.086058|0.116585|0.131431|0.094436|0.050441|0.060638|0.681948|0.063205|0.074904|0.113837|0.073323|0.050441,0.062767|0.084748|0.131015|0.111261|0.089577|0.102510|0.163101|0.055729|0.078591|0.067676|0.091741|0.178118|0.086058|0.116585|0.131431|0.094436|0.050441|0.060638|0.681948|0.063205|0.074904|0.113837|0.073323|0.050441,0.271198|-0.546683|-0.824485|-0.734139|-0.589097|0.682991|0.924588|0.137067|0.485063|-0.348246|0.606653|-0.959050|-0.558666|0.761507|0.826097|0.627388|0.011649|-0.233918|1.235574|0.278566|-0.443304|0.747702|0.424115|0.011649,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.495484,1.501000,0.005000,0.078000,1.472267,-0.085017,0.121048,1.472267,-0.085017,0.121048,1.485070,-0.072744,0.090689,0.005256,-0.012635,-0.168696,0.985573,0.008444,0.051873,-0.090634,0.007947,0.024322,-0.004435,0.006099,0.012977,0.001946,57,0.178629,0.155094,9.803879,0.000581,-0.000717,-0.000741,9.806740,0.003386,0.103835,0.103835,0.080367,-1,0,24,none,1,24,24,0,8.949186,46.797038,21,0,0.000000,1,0,0.148442,0.277151,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,0-1|2-3|3-4|5-6|6-7|7-0|0-1|2-3|3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3,0-1|2-3|3-4|5-6|6-7|7-0|0-1|2-3|3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3,none,-0.177042|-0.005453|-0.002796|0.103225|-0.045405|-0.015263|-0.130124|0.050848|-0.110707|0.004121|0.145451|0.076581|0.078572|-0.073823|-0.034982|0.003931|-0.002796|0.079190|0.060999|0.006204|-0.104407|-0.036289|-0.039674|-0.080521,-0.968599|-0.100813|-0.053673|0.810124|-0.540192|-0.248393|-0.881642|0.576928|-0.832193|0.077629|0.914279|0.712805|0.721315|-0.700627|-0.458863|0.074235|-0.053673|0.723905|0.637071|0.113517|-0.813738|-0.469964|-0.497444|-0.729419,0.182782|0.054090|0.052097|0.127419|0.084054|0.061447|0.147593|0.088136|0.133030|0.053091|0.159088|0.107435|0.108929|0.105367|0.076237|0.052948|0.052097|0.109392|0.095749|0.054653|0.128305|0.077217|0.079755|0.110391,0.182782|0.054090|0.052097|0.127419|0.084054|0.061447|0.147593|0.088136|0.133030|0.053091|0.159088|0.107435|0.108929|0.105367|0.076237|0.052948|0.052097|0.109392|0.095749|0.054653|0.128305|0.077217|0.079755|0.110391,-0.968599|-0.100813|-0.053673|0.810124|-0.540192|-0.248393|-0.881642|0.576928|-0.832193|0.077629|0.914279|0.712805|0.721315|-0.700627|-0.458863|0.074235|-0.053673|0.723905|0.637071|0.113517|-0.813738|-0.469964|-0.497444|-0.729419,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
0.548063,1.501000,0.005000,0.078000,1.480639,-0.077946,0.107021,1.480639,-0.077946,0.107021,1.486418,-0.070078,0.086068,0.003220,-0.010525,-0.160939,0.986903,0.022584,0.060467,-0.097609,0.005740,0.022565,-0.002168,0.011396,0.007547,0.001747,53,0.175924,0.152953,9.794594,0.000556,0.000330,-0.000199,9.797370,0.003139,0.090205,0.090205,0.076905,-1,0,24,none,1,24,24,0,11.443794,46.797038,21,0,0.000000,1,0,0.177038,0.371992,1,-1,nan,1.000000,2.000000,0.001000,0.080000,2.500000,5.000000,4.000000,3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0|0-1|3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5,3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5|5-6|6-7|7-0|0-1|3-4|4-5|5-6|6-7|7-0|0-1|1-2|2-3|3-4|4-5,none,0.055056|0.064165|0.077914|0.089372|-0.016229|-0.081685|-0.156451|-0.060292|0.040981|0.017247|0.110756|-0.037306|0.007230|-0.053534|-0.306210|0.153308|0.129523|0.000228|-0.006845|-0.161445|-0.147068|0.085153|0.050364|0.087623,0.603076|0.653917|0.718526|0.763673|-0.261029|-0.734155|-0.934939|-0.633194|0.507592|0.274043|0.832332|-0.478406|0.130457|-0.593829|-1.094946|0.929247|0.880257|0.004550|-0.124153|-0.943660|-0.917449|0.747842|0.573800|0.757218,0.091292|0.098124|0.108435|0.117029|0.062171|0.111263|0.167339|0.095219|0.080736|0.062935|0.133067|0.077979|0.055423|0.090150|0.279657|0.164981|0.147142|0.050171|0.055134|0.171083|0.160301|0.113864|0.087773|0.115718,0.091292|0.098124|0.108435|0.117029|0.062171|0.111263|0.167339|0.095219|0.080736|0.062935|0.133067|0.077979|0.055423|0.090150|0.279657|0.164981|0.147142|0.050171|0.055134|0.171083|0.160301|0.113864|0.087773|0.115718,0.603076|0.653917|0.718526|0.763673|-0.261029|-0.734155|-0.934939|-0.633194|0.507592|0.274043|0.832332|-0.478406|0.130457|-0.593829|-1.094946|0.929247|0.880257|0.004550|-0.124153|-0.943660|-0.917449|0.747842|0.573800|0.757218,nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal|nominal
