timestamp,gt_x,gt_y,gt_z,wls_x,wls_y,wls_z,lc_x,lc_y,lc_z,lc_qx,lc_qy,lc_qz,lc_qw,lc_vx,lc_vy,lc_vz,lc_bias_ax,lc_bias_ay,lc_bias_az,wls_gt_err,lc_gt_err,integ_chi2,integ_threshold,integ_dof,integ_fault,integ_ring_sum,integ_ring_ok,integ_hpl,integ_vpl,integ_available,integ_excluded_idx,nlos_rejected_count,nlos_rejected_pairs
0.008942,1.474000,-0.071000,0.079000,1.486238,-0.107461,0.027792,1.486238,-0.107461,0.027792,-0.002768,-0.006919,0.015221,0.999856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064042,0.064042,9.572025,20.515006,5,0,0.000000,1,0.472351,0.777433,1,-1,0,none
0.025482,1.474000,-0.071000,0.079000,1.478597,-0.080740,0.075041,1.482421,-0.094087,0.051418,-0.002807,-0.006943,0.015214,0.999856,0.000913,0.003021,0.000327,0.000000,-0.000000,-0.000000,0.011475,0.036942,0.422221,20.515006,5,0,0.000000,1,0.471038,0.774145,1,-1,0,none
0.042023,1.474000,-0.071000,0.079000,1.496294,-0.105565,0.117839,1.487111,-0.097956,0.073591,-0.001291,-0.006184,0.015029,0.999867,0.002337,0.004816,0.000926,-0.000000,0.000000,-0.000000,0.056571,0.030460,2.266975,18.466827,4,0,0.000000,1,0.469338,0.926261,1,3,0,none
0.058686,1.474000,-0.071000,0.079000,1.440107,-0.139415,0.117937,1.475176,-0.108420,0.084682,0.000929,-0.008615,0.015152,0.999848,0.000768,0.004446,0.001636,0.000000,0.000000,-0.000000,0.085705,0.037867,3.868550,20.515006,5,0,0.000000,1,0.468706,0.764826,1,-1,0,none
0.091874,1.474000,-0.071000,0.079000,1.508674,-0.175072,0.192033,1.482348,-0.122061,0.106288,0.004264,-0.005765,0.015910,0.999848,0.006748,0.001260,0.004348,-0.000000,0.000001,-0.000001,0.157510,0.058494,-12848045674608398.000000,20.515006,5,0,0.000000,1,0.569956,0.960274,1,-1,0,none
0.108500,1.474000,-0.071000,0.079000,1.524644,-0.137276,0.270050,1.489494,-0.123422,0.134129,-0.000206,-0.003593,0.016492,0.999858,0.013003,0.009902,0.008219,-0.000001,0.000001,-0.000004,0.208465,0.077636,2.080082,18.466827,4,0,0.000000,1,0.655400,1.085654,1,1,0,none
0.125187,1.474000,-0.071000,0.079000,1.472753,-0.098936,0.183781,1.487057,-0.119592,0.141454,-0.001897,-0.004663,0.016458,0.999852,0.012065,0.016063,0.009665,-0.000000,0.000001,-0.000005,0.108448,0.080200,10.504110,18.466827,4,0,0.000000,1,0.466979,0.919389,1,3,0,none
0.143813,1.474000,-0.071000,0.079000,1.390029,-0.139071,0.041962,1.474057,-0.122029,0.128917,-0.000521,-0.010160,0.016093,0.999819,-0.003108,0.014660,0.007103,0.000002,0.000001,-0.000002,0.114266,0.071384,2.212432,18.466827,4,0,0.000000,1,0.413239,0.822336,1,5,0,none
0.160448,1.474000,-0.071000,0.079000,1.461215,-0.116621,0.043514,1.474057,-0.122029,0.128917,-0.000521,-0.010160,0.016093,0.999819,-0.003108,0.014660,0.007103,0.000002,0.000001,-0.000002,0.059195,0.071384,-12194561935935486.000000,20.515006,5,0,0.000000,1,1.329751,1.242189,0,-1,0,none
0.177042,1.474000,-0.071000,0.079000,1.468120,-0.099055,0.052161,1.473060,-0.118701,0.120398,-0.001633,-0.010928,0.015954,0.999812,-0.006058,0.023428,0.004634,0.000002,0.000000,0.000001,0.039268,0.063167,-3654543929574970.000000,20.515006,5,0,0.000000,1,0.653881,0.829977,1,-1,0,none
0.193709,1.474000,-0.071000,0.079000,1.520332,-0.124142,0.046573,1.478377,-0.118995,0.112829,-0.001157,-0.008642,0.016052,0.999833,0.003634,0.024101,0.001560,-0.000000,0.000000,0.000005,0.077604,0.058882,5.559756,18.466827,4,0,0.000000,1,0.658986,0.806753,1,3,0,none
0.210321,1.474000,-0.071000,0.079000,1.505430,-0.118503,0.067855,1.478377,-0.118995,0.112829,-0.001157,-0.008642,0.016052,0.999833,0.003634,0.024101,0.001560,-0.000000,0.000000,0.000005,0.058039,0.058882,-317237016678906.500000,20.515006,5,0,0.000000,1,0.371559,2.430806,0,-1,0,none
0.226978,1.474000,-0.071000,0.079000,1.480376,-0.178418,0.116733,1.478740,-0.125158,0.113216,0.002772,-0.008581,0.016130,0.999829,0.004939,0.009441,0.002134,-0.000000,0.000004,0.000005,0.114031,0.064236,4.679217,18.466827,4,0,0.000000,1,0.595483,0.835247,1,7,0,none
0.243561,1.474000,-0.071000,0.079000,1.475072,-0.121004,0.200148,1.478440,-0.124455,0.121068,0.002222,-0.008710,0.016117,0.999830,0.004601,0.013016,0.006699,0.000000,0.000004,-0.000002,0.131067,0.068168,4.543472,18.466827,4,0,0.000000,1,0.413236,0.806502,1,5,0,none
0.276847,1.474000,-0.071000,0.079000,1.447050,-0.139871,0.167618,1.474788,-0.125866,0.125211,0.003331,-0.011118,0.016058,0.999804,-0.008593,0.009192,0.009759,0.000003,0.000005,-0.000007,0.115424,0.071738,2.066969,20.515006,5,0,0.000000,1,0.467805,0.759996,1,-1,0,none
